feature,score
Campus Visit Indicator?,38.09548945584654
Level of Financial Need,19.873541453974838
Reader Academic Rating,10.500681769712466
GPA,8.470807503233239
Scholarship,6.42106129544237
Ethnic Background,5.621707190303977
Permanent Region,4.1336257581726965
Academic Interest,2.967167343928961
HS Class Size,2.7223482000088435
Direct Legacy? (parent),0.623672590802886
Financial Aid Intent,0.3186985802530112
Sex,0.21630519465889317
Interview?,0.0348936636612959
