feature,score
Campus Visit Indicator?,31.338134145841085
Level of Financial Need,16.784688921940596
Reader Academic Rating,11.043330079241874
GPA,9.524938302226914
Scholarship,8.132062093588056
Ethnic Background,6.443888657736383
HS Class Size,5.977647309154265
Permanent Region,4.6158778344060885
Academic Interest,4.102876300004017
Direct Legacy? (parent),0.766566019409087
Interview?,0.5912325609514905
First Gen to College,0.3732715316139834
Financial Aid Intent,0.2675752105872226
Sex,0.037911033298783696
